;nKEAOperatingState;nInterruptedStep;tDurationSprayCleaning;tDurationDripping;tDurationSuction;tDurationBlowing;fInterruptionCountdown;p_heat;p_int;p_clean;p_dry;durationDrying;temp_tank;tankTemperatureMin;tankTemperatureMax;c_pfluid;V_tank;rho_fluid;n_wp;m_wp;t_environment;durationCleaning;durationStart;n_start
0;2;6;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.576663970947266;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;5
1;2;6;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.540000915527344;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;5
2;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.55333709716797;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
3;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.53333282470703;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
4;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.56666564941406;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
5;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.56666564941406;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
6;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.5;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
7;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.516666412353516;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
8;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.47333526611328;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
9;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.48666763305664;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
10;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.4900016784668;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
11;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.456668853759766;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
12;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.48666763305664;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
13;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.4666633605957;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.189998626708984;63.0;0;1
14;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.47333526611328;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
15;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.4466667175293;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
16;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.439998626708984;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
17;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.443336486816406;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
18;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.4900016784668;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
19;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.456668853759766;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
20;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.38666915893555;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
21;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.43333435058594;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.170000076293945;63.0;0;1
22;9;2;600.0;10.0;10.0;10.0;0.0;10000.0;200.0;3430.0;9350.0;9.0;60.413330078125;55.0;65.0;4190.0;0.3199999928474426;1000.0;42;0.2619999945163727;20.15999984741211;63.0;0;1
